Rank;Ticker;Company;Industry;Market cap ($M);
1;AAPL;Apple;Consumer Electronics;2236010;
2;MSFT;Microsoft;Software – Infrastructure;1838040;
3;AMZN;Amazon.com;Internet Retail;1646130;
4;GOOG;Alphabet;Internet Content & Information;1427450;
5;GOOGL;Alphabet;Internet Content & Information;1426070;
6;FB;Facebook;Internet Content & Information;780175;
7;TSLA;Tesla;Auto Manufacturers;764254;
8;BRK.B;Berkshire Hathaway;Insurance – Diversified;574935;
9;V;Visa;Credit Services;458388;
10;JPM;JPMorgan Chase;Banks – Diversified;441095;
11;JNJ;Johnson & Johnson;Drug Manufacturers – General;434553;
12;WMT;Walmart;Discount Stores;412113;
13;NVDA;NVIDIA;Semiconductors;379576;
14;PYPL;PayPal Holdings;Credit Services;356962;
15;MA;Mastercard;Credit Services;338945;
16;DIS;Walt Disney;Entertainment;338274;
17;PG;Procter & Gamble;Household & Personal Products;315000;
18;UNH;UnitedHealth Group;Healthcare Plans;308005;
19;HD;Home Depot;Home Improvement Retail;296485;
20;BAC;Bank of America;Banks – Diversified;296463;
21;INTC;Intel;Semiconductors;255354;
22;NFLX;Netflix;Entertainment;246817;
23;CMCSA;Comcast;Entertainment;241760;
24;ADBE;Adobe;Software – Infrastructure;240134;
25;CRM;Salesforce.com;Software – Application;228139;
26;ABT;Abbott Laboratories;Medical Devices;226897;
27;VZ;Verizon Communications;Telecom Services;224072;
28;NKE;Nike;Footwear & Accessories;223404;
29;XOM;Exxon Mobil;Oil & Gas Integrated;220285;
30;KO;Coca-Cola;Beverages – Non-Alcoholic;216031;
31;T;AT&T;Telecom Services;206439;
32;AVGO;Broadcom;Semiconductors;198935;
33;TMO;Thermo Fisher Scientific;Diagnostics & Research;198198;
34;LLY;Eli Lilly;Drug Manufacturers – General;196825;
35;CSCO;Cisco Systems;Communication Equipment;196528;
36;PFE;Pfizer;Drug Manufacturers – General;192820;
37;MRK;Merck & Co;Drug Manufacturers – General;187854;
38;PEP;PepsiCo;Beverages – Non-Alcoholic;185392;
39;ABBV;AbbVie;Drug Manufacturers – General;183962;
40;ORCL;Oracle;Software – Infrastructure;182942;
41;CVX;Chevron;Oil & Gas Integrated;181810;
42;DHR;Danaher;Diagnostics & Research;172253;
43;ACN;Accenture;Information Technology Services;170311;
44;QCOM;Qualcomm;Semiconductors;167173;
45;TXN;Texas Instruments;Semiconductors;166182;
46;MDT;Medtronic;Medical Devices;161091;
47;MCD;McDonald’s;Restaurants;160221;
48;NEE;NextEra Energy;Utilities – Regulated Electric;159122;
49;COST;Costco Wholesale;Discount Stores;157115;
50;TMUS;T-Mobile US;Telecom Services;151424;
51;WFC;Wells Fargo;Banks – Diversified;144626;
52;UNP;Union Pacific;Railroads;143336;
53;HON;Honeywell International;Specialty Industrial Machinery;141493;
54;UPS;United Parcel Service;Integrated Freight & Logistics;139913;
55;MS;Morgan Stanley;Capital Markets;137589;
56;AMGN;Amgen;Drug Manufacturers – General;134480;
57;PM;Philip Morris Intl;Tobacco;133940;
58;C;Citigroup;Banks – Diversified;133504;
59;BMY;Bristol-Myers Squibb;Drug Manufacturers – General;133084;
60;LIN;Linde;Specialty Chemicals;131287;
61;LOW;Lowe’s Companies;Home Improvement Retail;127538;
62;BA;Boeing;Aerospace & Defense;126615;
63;SBUX;Starbucks;Restaurants;124970;
64;CHTR;Charter Communications;Entertainment;119817;
65;INTU;Intuit;Software – Application;115718;
66;NOW;ServiceNow;Software – Application;114863;
67;SCHW;Charles Schwab;Capital Markets;114529;
68;BLK;BlackRock;Asset Management;111396;
